"artist","track","plays","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_s","liked"
"TWICE","LIKEY",1,0.723,0.903,"E",-1.262,"Minor",0.033,0.413,0.000377,0.118,0.443,132.006,"4/4",208,0
"TWICE","RAINBOW",1,0.771,0.849,"C",-3.586,"Major",0.129,0.0236,5.49e-06,0.144,0.761,133.994,"4/4",177,0
"TWICE","TT",35,0.708,0.852,"D",-4.398,"Major",0.0851,0.0525,0.00016,0.399,0.396,129.946,"4/4",213,1
"TWICE","What Is Love",12,0.574,0.909,"G#",-1.573,"Major",0.0658,0.0987,0,0.264,0.569,169.966,"4/4",208,1
"TWICE","What is Love?",2,0.574,0.909,"G#",-1.573,"Major",0.0658,0.0987,0,0.264,0.569,169.966,"4/4",208,0
"Two Feet","Quick Musical Doodles",1,0.688,0.349,"F#",-7.182,"Minor",0.27,0.241,0.685,0.374,0.433,169.773,"4/4",144,0
"Two Friends","Pacific Coast Highway (feat. MAX)",1,0.731,0.48,"D",-6.779,"Major",0.17,0.138,0,0.127,0.644,120.043,"4/4",224,0
"Two Friends","While We're Dreaming (feat. Kevin Writer)",4,0.585,0.668,"G",-4.415,"Major",0.12,0.238,0,0.0927,0.263,127.829,"4/4",195,0
"Ty Dolla $ign","Blasé (feat. Future & Rae Sremmurd)",1,0.615,0.523,"G",-4.246,"Minor",0.267,0.505,4.29e-06,0.11,0.693,127.932,"4/4",229,0
"Ty Dolla $ign","Clout",2,0.88,0.728,"A#",-6.939,"Minor",0.205,0.136,5.42e-05,0.337,0.715,160.976,"4/4",200,0
"Ty Dolla $ign","Clout (feat. 21 Savage)",32,0.88,0.728,"A#",-6.939,"Minor",0.205,0.136,5.42e-05,0.337,0.715,160.976,"4/4",200,1
"Ty Dolla $ign","Darkside (with Ty Dolla $ign & Future feat. Kiiara)",2,0.509,0.631,"G",-6.312,"Minor",0.0566,0.0976,0,0.058,0.157,154.359,"4/4",233,0
"Ty Dolla $ign","Dawsin's Breek (feat. A$AP Rocky) - Remix",47,0.886,0.717,"G#",-4.113,"Minor",0.0744,0.0156,6.28e-06,0.106,0.387,129.006,"4/4",184,1
"Ty Dolla $ign","Dawsin's Breek (feat. A$AP Rocky) [Remix]",20,0.886,0.717,"G#",-4.113,"Minor",0.0744,0.0156,6.28e-06,0.106,0.387,129.006,"4/4",184,1
"Ty Dolla $ign","Droptop in the Rain (feat. Tory Lanez)",1,0.73,0.581,"F#",-5.833,"Minor",0.0828,0.0295,1.3e-05,0.106,0.359,137.98,"4/4",181,0
"Ty Dolla $ign","Ego Death (feat. Kanye West, FKA twigs & Skrillex)",1,0.818,0.598,"A#",-5.948,"Minor",0.113,0.0573,1.32e-06,0.634,0.331,111.052,"4/4",232,0
