"","artist","track","plays","spotify_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration"
"217","Charli XCX","Vroom Vroom",2,"5hyq3LBlCfjRQAFkdQwe8o",0.836,0.684,"B",-5.818,"Major",0.241,0.122,0,0.0854,0.514,151.007,"4/4",3M 13S
"218","Charlotte Sands","Dress",2,"19VgR6RNUxPlZdQm08CZIs",0.807,0.438,"F",-9.596,"Major",0.182,0.028,0,0.454,0.793,114.994,"4/4",2M 24S
"219","Cheryl Lynn","Got To Be Real",1,"58r4JuwHhXLAkttkaUZfLw",0.836,0.626,"A",-10.143,"Minor",0.0335,0.0943,0.742,0.153,0.898,114.657,"4/4",5M 8S
"220","Chloe x Halle","Busy Boy",1,"31iu7QBaScWz35mRDeFmI1",0.772,0.655,"G",-6.213,"Major",0.0453,0.0334,0.000699,0.116,0.353,90.003,"4/4",3M 10S
"221","Chloe x Halle","Do It",25,"35Dh5MnCUPLN3XyAVtQff3",0.725,0.668,"F",-7.286,"Minor",0.055,0.0932,2.33e-06,0.112,0.566,82.966,"4/4",2M 57S
"222","Chloe x Halle","Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]",1,"2WKJcMeqmjkL4FzFoJszR7",0.628,0.649,"F",-10.171,"Minor",0.202,0.00595,0,0.25,0.476,82.907,"4/4",4M 15S
"223","Chloe x Halle","Don't Make it Harder on Me",30,"1osZ4ByxDPk5JbUqnyBJ1v",0.522,0.754,"A#",-6.007,"Major",0.0775,0.107,0.000724,0.199,0.545,164.009,"4/4",3M 35S
"224","Chloe x Halle","Everywhere",2,"1LaqQwmSqnRiNHH7B5Duvk",0.713,0.573,"C",-6.11,"Major",0.0383,0.0171,1.47e-06,0.312,0.534,123.97,"4/4",3M 21S
"225","Chloe x Halle","Forgive Me",7,"0qU3XhIH9xczYPUWV6OopS",0.707,0.651,"E",-3.156,"Minor",0.0669,0.0406,5.95e-06,0.449,0.562,137.017,"4/4",2M 38S
"226","Chloe x Halle","Hazy",1,"5JJORhW9qSHTBdtXcQREEa",0.694,0.662,"D",-6.457,"Minor",0.0405,0.0522,0.00899,0.116,0.564,163.963,"4/4",3M 24S
"227","Chloe x Halle","Lonely",3,"7zzFMgUlCC0ZUQGXkf6t1B",0.819,0.388,"A",-6.396,"Major",0.0812,0.159,0.0906,0.109,0.241,94.984,"4/4",3M 15S
"228","Chloe x Halle","Overwhelmed",1,"69YtbnALqh0dhXeyJe1WO0",0.41,0.215,"E",-12.778,"Minor",0.0533,0.898,0,0.164,0.609,83.498,"4/4",52S
"229","Chloe x Halle","ROYL",2,"1C6ABWzxA5DBUpbTxNyTyB",0.663,0.689,"F",-5.585,"Major",0.0295,0.348,1.09e-05,0.157,0.59,149.96,"4/4",3M 25S
"230","Chloe x Halle","Tipsy",5,"5GXuUITCCWAG4h8ABnQ8ve",0.817,0.608,"A",-5.445,"Major",0.0518,0.0315,0.000585,0.0598,0.667,136.959,"4/4",2M 33S
"231","Chloe x Halle","Ungodly Hour",9,"4SJRgLsuBKTEBEl9n6JsNu",0.704,0.68,"D",-6.498,"Major",0.315,0.146,1.25e-05,0.0692,0.168,105.031,"4/4",4M 16S
"232","Chloe x Halle","Wonder What She Thinks of Me",4,"4keqQBiftWkXbPOSsjK7EH",0.562,0.536,"D",-7.052,"Major",0.0746,0.331,0,0.0893,0.278,125.308,"4/4",3M 32S
"233","Chris-n-Teeb","Wake up",1,"0USoK1T6twgmdHQ4WJMRhz",0.764,0.813,"A#",-6.308,"Minor",0.268,0.187,0.00146,0.206,0.679,129.985,"4/4",2M 28S
"234","Christian Leave","Hard Wad Body",1,"20m8YfO42l9EHDdSIiwBPK",0.417,0.343,"C",-8.527,"Major",0.031,0.0484,2.47e-05,0.12,0.203,133.08,"3/4",3M 27S
"235","Christina Aguilera","Genie in a Bottle",1,"11mwFrKvLXCbcVGNxffGyP",0.633,0.8,"C#",-6.945,"Major",0.166,0.209,0.000123,0.137,0.913,175.716,"4/4",3M 38S
"236","Christina Aguilera","Unless It's With You",1,"7fklxl8AxKiGz5fFZEglIm",0.588,0.497,"D",-5.312,"Major",0.0397,0.578,0,0.108,0.238,99.071,"4/4",4M 17S
"237","Ciara","I'm Out (feat. Nicki Minaj)",1,"3c7MNgwEBQTnrOWLjU1DHq",0.737,0.723,"C",-5.834,"Major",0.261,0.0864,4.47e-06,0.522,0.555,148.113,"4/4",4M 2S
"238","Citizen Queen","Y",2,"0vVyVjDpFCqoCVTbrOLBmz",0.491,0.368,"G#",-5.788,"Major",0.0419,0.834,0,0.0754,0.373,116.991,"4/4",3M 30S
"239","City Girls","Twerkulator",5,"2Ty7EDf9XLYzEUqEIwJfDC",0.895,0.469,"C#",-5.882,"Major",0.0661,0.0012,4.56e-05,0.192,0.076,126.917,"4/4",2M 19S
"240","Claire Rosinkranz","Backyard Boy",1,"04F42oEuKrRComYJfJuyVR",0.817,0.635,"F",-7.246,"Major",0.163,0.323,0,0.0738,0.454,138.015,"4/4",2M 9S
"241","Claire Rosinkranz","Frankenstein",1,"1xSmjB0t19q4CSJ0X0ymGB",0.826,0.745,"D",-6.091,"Major",0.141,0.13,1.32e-05,0.178,0.883,119.92,"4/4",3M 22S
"242","Clairo","Amoeba",1,"0HAqq2GcQKyi3s87GuN7jU",0.739,0.491,"F#",-11.515,"Major",0.027,0.791,0.0366,0.1,0.707,111.008,"4/4",3M 49S
"243","Clairo","Bambi",1,"6wQXjA6KWbwPT3ydQCsJ4P",0.436,0.196,"A",-14.566,"Major",0.0284,0.904,0.0023,0.107,0.281,83.768,"4/4",4M 37S
"244","Clairo","Bubble Gum",7,"3zksbXteOCeSusJ5Xltr3t",0.509,0.0167,"A",-24.639,"Major",0.115,0.979,2.72e-05,0.387,0.229,207.97,"3/4",2M 56S
"245","Claud","Soft Spot",1,"30bqNfOgcJOw2EWJJl1w5J",0.56,0.544,"A#",-8.25,"Major",0.0284,0.394,5.02e-05,0.224,0.472,82.028,"4/4",3M 8S
"246","Claud","Wish You Were Gay",1,"6fgjMZJlIACwYqC1b0yyiP",0.616,0.322,"D",-8.997,"Major",0.0474,0.824,0,0.106,0.356,141.076,"4/4",3M 11S
"247","Cloudy June","Monsters in My Mind",1,"7rUknGmak4AplYiHvvthaW",0.694,0.699,"D#",-6.899,"Minor",0.0428,0.0963,0,0.0747,0.851,159.96,"4/4",2M 22S
"248","Coco & Clair Clair","Pop Star",1,"6szae8TGTs5QgPqdDFblg1",0.891,0.67,"C",-7.256,"Major",0.135,0.203,0.00273,0.11,0.938,128.046,"4/4",3M 4S
"249","Coco & Clair Clair","Pretty",1,"3L545updZMVxAsaYV6K8Z9",0.768,0.561,"G#",-6.657,"Major",0.0453,0.12,9.2e-06,0.0916,0.731,120.049,"4/4",3M 44S
"250","Coco & Clair Clair","Sims 2",5,"5Fr21qSH0jTyXH6B9RMVpG",0.403,0.632,"F#",-7.404,"Minor",0.115,0.414,0.0887,0.275,0.284,141.502,"4/4",3M 15S
"251","Cody Fry","I Hear a Symphony",1,"3iJya7m7trpGv570Ske30n",0.207,0.243,"A#",-8.181,"Major",0.0306,0.925,0.0342,0.118,0.394,171.648,"4/4",3M 5S
"252","COI LERAY","At The Top (with Kodak Black & Mustard)",2,"4buaMK8tYXGF7Ca3u8iLtE",0.765,0.423,"F#",-9.608,"Minor",0.378,0.278,0,0.204,0.226,97.919,"4/4",3M 1S
"253","Coldplay","Let Somebody Go",1,"4cGqn0E8JCSY9gQllQj4Mf",0.592,0.342,"C",-8.93,"Major",0.0339,0.193,0.00245,0.11,0.155,130.953,"4/4",4M 2S
"254","Conan Gray","Heather",15,"4xqrdfXkTW4T0RauPLv3WA",0.357,0.425,"F",-7.301,"Major",0.0333,0.584,0,0.322,0.27,102.078,"3/4",3M 18S
"255","Conan Gray","Maniac",1,"6KfoDhO4XUWSbnyKjNp9c4",0.628,0.639,"G#",-5.46,"Major",0.0435,0.00162,0,0.354,0.493,108.045,"4/4",3M 6S
"256","Conan Gray","People Watching",1,"4JeOesjcWWlprTAvucDSJX",0.53,0.593,"F",-7.286,"Major",0.0545,0.385,0,0.314,0.538,125.723,"4/4",2M 39S
"257","Cousin Stizz","Perfect (Remix) (feat. Doja Cat & BIA)",1,"31tgCy8mn6sFuIiHSHfEhm",0.951,0.484,"C#",-10.591,"Major",0.337,0.189,0,0.0766,0.383,124.04,"4/4",3M 17S
"258","Crimson Apple","Break Your Heart Worse",1,"1rNByp6EKNuYbrVkIpUPBy",0.602,0.801,"B",-3.475,"Major",0.0364,0.00496,4.63e-05,0.134,0.237,110.081,"4/4",3M 44S
"259","cupcakKe","Deepthroat",2,"5cXtT63OTadsjqfRkm5Dwd",0.93,0.65,"C",-6.896,"Major",0.259,0.184,4.92e-05,0.198,0.403,98.023,"4/4",3M 19S
"260","cupcakKe","LGBT",1,"0lsw4q8Jei7gEoV7kFe3DS",0.795,0.857,"C",-8.676,"Minor",0.162,0.172,1.76e-05,0.101,0.419,124.967,"4/4",2M 41S
"261","Cyndi Lauper","Girls Just Want to Have Fun",1,"4y1LsJpmMti1PfRQV9AWWe",0.71,0.799,"F#",-4.897,"Major",0.0328,0.22,0.000602,0.349,0.725,120.372,"4/4",3M 58S
"262","Daisy","four",13,"0Xz65jjgnMfgzZBgACIpAo",0.367,0.734,"F",-6.557,"Major",0.0753,0.154,0,0.145,0.359,111.238,"4/4",3M 43S
"263","Daisy","STILL HERE",13,"3HlToQ2FdqyCrJMu3UAohT",0.657,0.529,"C#",-6.986,"Major",0.0495,0.272,4.55e-05,0.185,0.495,125.812,"4/4",5M 22S
"264","DAY6","Congratulations",1,"5dhZMPumW81ipov9bpz6nu",0.321,0.703,"D#",-4.077,"Major",0.0535,0.046,0,0.0395,0.577,179.802,"4/4",3M 49S
"265","DAY6","STOP",1,"2kEXwegoUocARVri2uvgVH",0.665,0.94,"A",-2.925,"Minor",0.0484,0.00302,1.76e-06,0.344,0.666,112.051,"4/4",3M 48S
"266","DAY6","Sweet Chaos",1,"499qjESUqiZjlNI7XQhyLp",0.335,0.937,"B",-1.895,"Minor",0.0737,0.00502,0,0.51,0.529,199.692,"4/4",3M 47S
"267","DAY6","You make Me",1,"3Y4SnP9NDIjEj69mMY4NVp",0.646,0.617,"F#",-5.606,"Minor",0.0338,0.339,0,0.129,0.384,100.995,"4/4",3M 39S
"268","DAY6","누군가 필요해 I Need Somebody",3,"4aceMabp5rzZYoKKXsUffr",0.419,0.532,"F",-4.759,"Minor",0.0344,0.127,0,0.0785,0.337,184.197,"4/4",3M 39S
"269","DAY6","어떻게 말해 How Can I Say",2,"3lUTXq1JLSDQX4qBRHMBdU",0.393,0.945,"B",-0.995,"Minor",0.0866,0.00573,0,0.0987,0.506,185.971,"4/4",3M 22S
"270","DeathbyRomy","Beautiful Mayhem",2,"0yXEE1myTZyAqAERW1rT47",0.426,0.626,"F",-7.715,"Minor",0.12,0.0174,0,0.204,0.266,95.129,"4/4",3M 9S
"271","DeathbyRomy","Problems",4,"5fgHQws1Cj6KDLQmlqM6lF",0.761,0.554,"C",-4.583,"Major",0.0432,0.226,0.000232,0.181,0.381,145.015,"4/4",3M 9S
"272","Deaton Chris Anthony","RACECAR (feat. Clairo, Coco & Clair Clair)",2,"4hie5sbZpqiMzzZY25dOVp",0.632,0.579,"F",-11.053,"Major",0.102,0.0294,0.000918,0.115,0.164,104.994,"4/4",2M 51S
"273","DECO*27","乙女解剖",1,"7Lpm4GU78jmjSrQDhiAqzJ",0.647,0.895,"F#",-4.436,"Minor",0.0359,0.00186,0.00846,0.309,0.82,134.008,"4/4",3M 43S
"274","Deee-Lite","Groove Is in the Heart",2,"2UVLuddklEVak5PXgC7baA",0.694,0.881,"C#",-4.053,"Minor",0.0701,0.0153,0.0196,0.0851,0.924,121.554,"4/4",3M 52S
"275","Demi Lovato","Met Him Last Night (feat. Ariana Grande)",1,"0BI0hfbmqybnd3TezrDME3",0.538,0.512,"E",-4.548,"Minor",0.0262,0.22,0,0.101,0.12,144.978,"4/4",3M 25S
"276","Demi Lovato","Sober",2,"0STK94RxUulYqWzwFlyAb5",0.397,0.303,"C#",-10.413,"Major",0.11,0.798,4.16e-06,0.0824,0.17,170.22,"3/4",3M 18S
"277","Destiny Rogers","Tomboy",1,"5Ti3fqGTfjUsSdylFNy0Ng",0.644,0.645,"C",-5.437,"Minor",0.0557,0.423,0.00512,0.116,0.459,77.998,"4/4",3M 23S
"278","Destiny's Child","Bills, Bills, Bills",3,"1Oi2zpmL81Q0yScF1zxaC0",0.845,0.576,"B",-5.15,"Minor",0.153,0.139,0,0.0764,0.461,127.641,"4/4",4M 16S
"279","DeZi","Chaos Mode",1,"4VLbLC655t2SA7MvtKwYJ5",0.521,0.551,"B",-8.892,"Minor",0.292,0.0399,1.58e-06,0.195,0.356,160.044,"4/4",3M 9S
"280","Disclosure","Magnets",1,"7nRmfGNhHKEEu5o8yFXLXt",0.704,0.628,"A#",-7.882,"Minor",0.162,0.0626,1.49e-06,0.103,0.654,92.005,"4/4",3M 19S
"281","Dizzy Fae","Baby Pillz",1,"7uxlLKlY5FIYymJF3tU7ai",0.652,0.541,"G#",-7.939,"Major",0.0655,0.0522,0.00293,0.163,0.452,99.929,"4/4",2M 28S
"282","Dmad","World Is Spinning",1,"313F7TP2xczgB8H2aW5eTH",0.775,0.674,"F#",-6.943,"Minor",0.256,0.00132,0,0.169,0.38,94.965,"4/4",2M 10S
"283","dodie","Sick Of Losing Soulmates",2,"4hjbxjZpJ8H6qRCzDOGI0M",0.478,0.241,"D",-17.122,"Major",0.0386,0.716,0.216,0.354,0.11,75.285,"4/4",4M 27S
"284","Doechii","Yucky Blucky Fruitcake",2,"1j3SdMJfeRJXycCp50boYE",0.597,0.617,"G#",-7.482,"Minor",0.282,0.463,0,0.66,0.889,97.923,"4/4",4M 36S
"285","Doja Cat","Ain't Shit",6,"5lAnYvAIkSDNXqfo7DyFUm",0.855,0.488,"D#",-4.601,"Major",0.208,0.506,0,0.347,0.619,124.097,"4/4",2M 54S
"286","Doja Cat","Alone",1,"45Nc6nYgV3yBvAeRaZt689",0.691,0.656,"G#",-5.864,"Minor",0.172,0.543,1.22e-05,0.095,0.746,169.973,"4/4",3M 49S
